Opt. Const. of Cauchy vs. nm
nm	n	k
773.497009	1.490377	0.007649	
775.079407	1.490349	0.007645	
776.661682	1.490322	0.007641	
778.243835	1.490296	0.007638	
779.825989	1.490269	0.007634	
781.408081	1.490242	0.007631	
782.990051	1.490216	0.007627	
784.571960	1.490190	0.007623	
786.153809	1.490164	0.007620	
787.735535	1.490138	0.007616	
789.317261	1.490112	0.007613	
790.898865	1.490087	0.007609	
792.480408	1.490061	0.007606	
794.061890	1.490036	0.007602	
795.643250	1.490011	0.007599	
797.224548	1.489986	0.007596	
798.805786	1.489961	0.007592	
800.387024	1.489937	0.007589	
801.968079	1.489912	0.007585	
803.549072	1.489888	0.007582	
805.130005	1.489864	0.007579	
806.710876	1.489840	0.007575	
808.291626	1.489816	0.007572	
809.872375	1.489792	0.007569	
811.453003	1.489769	0.007565	
813.033569	1.489746	0.007562	
814.614014	1.489722	0.007559	
816.194458	1.489699	0.007556	
817.774780	1.489676	0.007552	
819.354980	1.489653	0.007549	
820.935181	1.489631	0.007546	
822.515259	1.489608	0.007543	
824.095215	1.489586	0.007540	
825.675110	1.489564	0.007536	
827.255005	1.489542	0.007533	
828.834656	1.489520	0.007530	
830.414368	1.489498	0.007527	
831.993958	1.489476	0.007524	
833.573425	1.489454	0.007521	
835.152954	1.489433	0.007518	
836.732239	1.489412	0.007515	
838.311523	1.489390	0.007512	
839.890747	1.489369	0.007509	
841.469849	1.489348	0.007505	
843.048828	1.489328	0.007502	
844.627747	1.489307	0.007499	
846.206543	1.489286	0.007496	
847.785339	1.489266	0.007493	
849.364075	1.489245	0.007491	
850.942566	1.489225	0.007488	
852.521118	1.489205	0.007485	
854.099487	1.489185	0.007482	
855.677856	1.489165	0.007479	
857.256165	1.489146	0.007476	
858.834290	1.489126	0.007473	
860.412415	1.489106	0.007470	
861.990356	1.489087	0.007467	
863.568237	1.489068	0.007464	
865.146118	1.489048	0.007461	
866.723816	1.489029	0.007459	
868.301453	1.489010	0.007456	
869.879028	1.488992	0.007453	
871.456421	1.488973	0.007450	
873.033875	1.488954	0.007447	
874.611145	1.488936	0.007445	
876.188354	1.488917	0.007442	
877.765442	1.488899	0.007439	
879.342468	1.488881	0.007436	
880.919434	1.488863	0.007434	
882.496277	1.488845	0.007431	
884.073059	1.488827	0.007428	
885.649719	1.488809	0.007425	
887.226257	1.488791	0.007423	
888.802734	1.488774	0.007420	
890.379089	1.488756	0.007417	
891.955383	1.488739	0.007415	
893.531555	1.488721	0.007412	
895.107727	1.488704	0.007409	
896.683716	1.488687	0.007407	
898.259644	1.488670	0.007404	
899.835449	1.488653	0.007402	
901.411255	1.488636	0.007399	
902.986816	1.488619	0.007396	
904.562378	1.488603	0.007394	
906.137817	1.488586	0.007391	
907.713196	1.488570	0.007389	
909.288452	1.488553	0.007386	
910.863647	1.488537	0.007384	
912.438660	1.488521	0.007381	
914.013672	1.488505	0.007379	
915.588562	1.488489	0.007376	
917.163391	1.488473	0.007373	
918.737976	1.488457	0.007371	
920.312622	1.488441	0.007369	
921.887085	1.488425	0.007366	
923.461548	1.488410	0.007364	
925.035828	1.488394	0.007361	
926.609985	1.488379	0.007359	
928.184082	1.488364	0.007356	
929.758118	1.488348	0.007354	
931.332031	1.488333	0.007351	
932.905762	1.488318	0.007349	
934.479492	1.488303	0.007347	
936.053101	1.488288	0.007344	
937.626648	1.488273	0.007342	
939.200012	1.488258	0.007339	
940.773315	1.488244	0.007337	
942.346497	1.488229	0.007335	
943.919617	1.488214	0.007332	
945.492554	1.488200	0.007330	
947.065552	1.488186	0.007328	
948.638306	1.488171	0.007325	
950.211060	1.488157	0.007323	
951.783569	1.488143	0.007321	
953.356079	1.488129	0.007318	
954.928528	1.488115	0.007316	
956.500793	1.488101	0.007314	
958.072937	1.488087	0.007312	
959.645020	1.488073	0.007309	
961.216980	1.488059	0.007307	
